MONTH,BOROUGH,BOROUGH_ID,COMMUNITYDISTRICT,BORO_CD,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2021 / 09,Manhattan,1,01,101,274.1,101.7,49.4
2021 / 09,Manhattan,1,02,102,452.5,101.5,60.2
2021 / 09,Manhattan,1,03,103,733.4,114.4,76.9
2021 / 09,Manhattan,1,04,104,565.8,163.3,87.7
2021 / 09,Manhattan,1,05,105,293.8,69.3,42
2021 / 09,Manhattan,1,06,106,654.6,158.5,91.1
2021 / 09,Manhattan,1,07,107,1063.4,256.8,148.6
2021 / 09,Manhattan,1,08,108,1039.3,267.4,154.9
2021 / 09,Manhattan,1,09,109,565.8,81.2,66.8
2021 / 09,Manhattan,1,10,110,646.6,77.7,60.5
2021 / 09,Manhattan,1,11,111,584.1,59.5,42.8
2021 / 09,Manhattan,1,12,112,1024,123.3,123.5
2021 / 09,Bronx,2,01,201,548.2,24.3,31.8
2021 / 09,Bronx,2,02,202,404.9,34.8,40.4
2021 / 09,Bronx,2,03,203,514.1,35.4,45.6
2021 / 09,Bronx,2,04,204,888,71.3,84.5
2021 / 09,Bronx,2,05,205,746.8,69,88.3
2021 / 09,Bronx,2,06,206,550.1,49.9,54.6
2021 / 09,Bronx,2,07,207,764.6,73.1,132.3
2021 / 09,Bronx,2,08,208,568.5,78.1,75.6
2021 / 09,Bronx,2,09,209,939.6,69.1,91.9
2021 / 09,Bronx,2,10,210,790.7,98,107.5
2021 / 09,Bronx,2,11,211,885.2,84.5,94.2
2021 / 09,Bronx,2,12,212,1100.3,86.2,137.8
2021 / 09,Brooklyn,3,01,301,1598.4,194.9,133.1
2021 / 09,Brooklyn,3,02,302,614,129.4,95.1
2021 / 09,Brooklyn,3,03,303,1268.2,125.8,103.9
2021 / 09,Brooklyn,3,04,304,921.4,79.3,94
2021 / 09,Brooklyn,3,05,305,1290.5,72.7,108.9
2021 / 09,Brooklyn,3,06,306,563.2,136.4,92.4
2021 / 09,Brooklyn,3,07,307,824,98.5,88.8
2021 / 09,Brooklyn,3,08,308,588.6,72.1,62.3
2021 / 09,Brooklyn,3,09,309,661,84.5,71.3
2021 / 09,Brooklyn,3,10,310,950.5,133.9,117.2
2021 / 09,Brooklyn,3,11,311,1421.7,150.5,130.3
2021 / 09,Brooklyn,3,12,312,2022.6,248.6,105.8
2021 / 09,Brooklyn,3,13,313,466,46.1,58.7
2021 / 09,Brooklyn,3,14,314,1164.2,118.8,96.1
2021 / 09,Brooklyn,3,15,315,1162.4,129.5,112.7
2021 / 09,Brooklyn,3,16,316,507.8,31.9,45.8
2021 / 09,Brooklyn,3,17,317,1055.1,77,109.6
2021 / 09,Brooklyn,3,18,318,1454.6,128.2,156.2
2021 / 09,Queens,4,01,401,1009.1,157.5,134.3
2021 / 09,Queens,4,02,402,763.6,133.1,99.2
2021 / 09,Queens,4,03,403,1158.6,93.7,115.1
2021 / 09,Queens,4,04,404,1124.4,94.6,146.3
2021 / 09,Queens,4,05,405,1429.4,177.5,182.3
2021 / 09,Queens,4,06,406,705.1,103.3,88.6
2021 / 09,Queens,4,07,407,2045,216.3,195.2
2021 / 09,Queens,4,08,408,942.7,139.9,93.7
2021 / 09,Queens,4,09,409,960.6,106,129.4
2021 / 09,Queens,4,10,410,979.5,88.2,115.9
2021 / 09,Queens,4,11,411,826.1,122.8,113.2
2021 / 09,Queens,4,12,412,1584.6,115.9,197.3
2021 / 09,Queens,4,13,413,1400.9,109.9,199.8
2021 / 09,Queens,4,14,414,740.9,67,67
2021 / 09,Staten Island,5,01,501,1217.7,141.5,161.9
2021 / 09,Staten Island,5,02,502,995.4,119.8,138.8
2021 / 09,Staten Island,5,03,503,1620.4,208.6,201.1
2021 / 08,Manhattan,1,01,101,1254.9,352.8,208.5
2021 / 08,Manhattan,1,02,102,1794.5,428.9,277.4
2021 / 08,Manhattan,1,03,103,2862.9,362.7,268
2021 / 08,Manhattan,1,04,104,2360.5,476.6,333.8
2021 / 08,Manhattan,1,05,105,1263.9,290.4,170.6
2021 / 08,Manhattan,1,06,106,2741.8,522.6,345.6
2021 / 08,Manhattan,1,07,107,4148,950.3,650.3
2021 / 08,Manhattan,1,08,108,4471.3,962.2,624.7
2021 / 08,Manhattan,1,09,109,2213.2,247.9,237.1
2021 / 08,Manhattan,1,10,110,2763.8,266.3,251.3
2021 / 08,Manhattan,1,11,111,2337.2,208.4,179.3
2021 / 08,Manhattan,1,12,112,4901.7,450.4,485.4
2021 / 08,Bronx,2,01,201,2298.3,166.8,177
2021 / 08,Bronx,2,02,202,1677.2,111.7,149.6
2021 / 08,Bronx,2,03,203,2301.8,149,218.2
2021 / 08,Bronx,2,04,204,4178.1,326,405.2
2021 / 08,Bronx,2,05,205,3588.5,258.2,399.3
2021 / 08,Bronx,2,06,206,2541.9,168.3,218.4
2021 / 08,Bronx,2,07,207,3817.6,349.2,559.7
2021 / 08,Bronx,2,08,208,2404.1,324,388.5
2021 / 08,Bronx,2,09,209,4071.9,238.4,388.1
2021 / 08,Bronx,2,10,210,2841.3,300.4,377.1
2021 / 08,Bronx,2,11,211,3362.4,281.5,348
2021 / 08,Bronx,2,12,212,4475.6,372.7,622.2
2021 / 08,Brooklyn,3,01,301,5442.7,694.7,497.3
2021 / 08,Brooklyn,3,02,302,2578.5,503.8,383.1
2021 / 08,Brooklyn,3,03,303,4550.8,493.1,430.6
2021 / 08,Brooklyn,3,04,304,3731.7,314.2,386.9
2021 / 08,Brooklyn,3,05,305,5357.7,290.3,491
2021 / 08,Brooklyn,3,06,306,2252.2,503.5,370.7
2021 / 08,Brooklyn,3,07,307,3517.7,414.8,385.5
2021 / 08,Brooklyn,3,08,308,2891.6,360.9,334.2
2021 / 08,Brooklyn,3,09,309,3159.6,298.1,246.6
2021 / 08,Brooklyn,3,10,310,3557,466.2,445
2021 / 08,Brooklyn,3,11,311,5422.6,562.6,528.4
2021 / 08,Brooklyn,3,12,312,5864.3,682,342.1
2021 / 08,Brooklyn,3,13,313,2293.4,187.2,238.8
2021 / 08,Brooklyn,3,14,314,4938.3,485.8,414.5
2021 / 08,Brooklyn,3,15,315,4592.1,497.6,479.1
2021 / 08,Brooklyn,3,16,316,2596.7,114.8,170.2
2021 / 08,Brooklyn,3,17,317,5071,334.6,496.4
2021 / 08,Brooklyn,3,18,318,6254.2,534.4,660.4
2021 / 08,Queens,4,01,401,4166,618.7,615.8
2021 / 08,Queens,4,02,402,3287.7,460.2,400.5
2021 / 08,Queens,4,03,403,5233.3,351.4,485.6
2021 / 08,Queens,4,04,404,4350.3,326.8,636.6
2021 / 08,Queens,4,05,405,5160.2,591.2,671.3
2021 / 08,Queens,4,06,406,2908.3,388,372.1
2021 / 08,Queens,4,07,407,7312.9,753.5,771.5
2021 / 08,Queens,4,08,408,4110.8,439.1,396.7
2021 / 08,Queens,4,09,409,4420.7,462.2,572.3
2021 / 08,Queens,4,10,410,4363.8,365.4,548.4
2021 / 08,Queens,4,11,411,3325.2,444,434.7
2021 / 08,Queens,4,12,412,8055.1,526.8,911.3
2021 / 08,Queens,4,13,413,6337.2,459.2,887.4
2021 / 08,Queens,4,14,414,3648.4,256.2,268.8
2021 / 08,Staten Island,5,01,501,6147.1,610.9,729.6
2021 / 08,Staten Island,5,02,502,4724.2,494.7,589.4
2021 / 08,Staten Island,5,03,503,6115,695.9,697.6
2021 / 07,Manhattan,1,01,101,1317.3,424.5,259.5
2021 / 07,Manhattan,1,02,102,1850.3,410.9,263.2
2021 / 07,Manhattan,1,03,103,2945.5,412.4,325.5
2021 / 07,Manhattan,1,04,104,2445.7,610.4,408.6
2021 / 07,Manhattan,1,05,105,1281.4,290.9,168
2021 / 07,Manhattan,1,06,106,2819.8,663.6,437.2
2021 / 07,Manhattan,1,07,107,4385.4,1064.6,730.4
2021 / 07,Manhattan,1,08,108,4657.4,1096,715.9
2021 / 07,Manhattan,1,09,109,2300.2,298.8,304
2021 / 07,Manhattan,1,10,110,2873.9,289.2,271.3
2021 / 07,Manhattan,1,11,111,2448.6,221.7,190.8
2021 / 07,Manhattan,1,12,112,5116.1,505.5,539.4
2021 / 07,Bronx,2,01,201,2354.7,146.2,151.2
2021 / 07,Bronx,2,02,202,1766.4,157.9,189.9
2021 / 07,Bronx,2,03,203,2368.1,140.6,204.2
2021 / 07,Bronx,2,04,204,4313.3,339.1,403.5
2021 / 07,Bronx,2,05,205,3776,294.1,406.4
2021 / 07,Bronx,2,06,206,2534.9,211.4,243.4
2021 / 07,Bronx,2,07,207,3945.4,372.9,576.5
2021 / 07,Bronx,2,08,208,2536.2,338.1,375.3
2021 / 07,Bronx,2,09,209,4327,293.8,456.7
2021 / 07,Bronx,2,10,210,3022.3,357.5,458.6
2021 / 07,Bronx,2,11,211,3623.2,341.1,393
2021 / 07,Bronx,2,12,212,4864,428.1,681.4
2021 / 07,Brooklyn,3,01,301,5117.6,719.4,563.3
2021 / 07,Brooklyn,3,02,302,2766.5,525.2,417.1
2021 / 07,Brooklyn,3,03,303,4510.9,460,440.3
2021 / 07,Brooklyn,3,04,304,3787.1,349.9,435
2021 / 07,Brooklyn,3,05,305,5567.7,308.5,491.5
2021 / 07,Brooklyn,3,06,306,2402.3,560,410.6
2021 / 07,Brooklyn,3,07,307,3828.6,432,412.6
2021 / 07,Brooklyn,3,08,308,3023,334.4,306.6
2021 / 07,Brooklyn,3,09,309,3331.1,328.6,291
2021 / 07,Brooklyn,3,10,310,3853.5,499.7,466.9
2021 / 07,Brooklyn,3,11,311,5572.8,617.9,562.5
2021 / 07,Brooklyn,3,12,312,5460.7,579.6,353.2
2021 / 07,Brooklyn,3,13,313,2346.8,214.6,251
2021 / 07,Brooklyn,3,14,314,5210.8,480.1,431
2021 / 07,Brooklyn,3,15,315,4747.8,542.6,507.2
2021 / 07,Brooklyn,3,16,316,2791,129.4,210.9
2021 / 07,Brooklyn,3,17,317,5466.5,368.8,527.7
2021 / 07,Brooklyn,3,18,318,6844.4,595.6,739.5
2021 / 07,Queens,4,01,401,4427,667.7,641.5
2021 / 07,Queens,4,02,402,3426.7,474.7,424.8
2021 / 07,Queens,4,03,403,5570.9,431.3,550.2
2021 / 07,Queens,4,04,404,4554.2,388.8,687.7
2021 / 07,Queens,4,05,405,5448,658.5,764
2021 / 07,Queens,4,06,406,3048.8,443.6,417.1
2021 / 07,Queens,4,07,407,7617.5,881.8,863
2021 / 07,Queens,4,08,408,4245.6,494.1,447.1
2021 / 07,Queens,4,09,409,4564.9,481.9,617.1
2021 / 07,Queens,4,10,410,4564.7,406.1,615.9
2021 / 07,Queens,4,11,411,3471.4,491.2,472.1
2021 / 07,Queens,4,12,412,8470.8,602.5,1071.5
2021 / 07,Queens,4,13,413,6745.2,519.9,1039.2
2021 / 07,Queens,4,14,414,3742.9,294.4,335.1
2021 / 07,Staten Island,5,01,501,6406.8,683.2,809.2
2021 / 07,Staten Island,5,02,502,4960.9,561.4,670.1
2021 / 07,Staten Island,5,03,503,6482.9,834.3,800.1
2021 / 06,Manhattan,1,01,101,1386.3,380.4,229.6
2021 / 06,Manhattan,1,02,102,2010.7,505.2,332.3
2021 / 06,Manhattan,1,03,103,3017.9,403.8,318.2
2021 / 06,Manhattan,1,04,104,2492.7,514.2,367.9
2021 / 06,Manhattan,1,05,105,1315.1,319.8,190.9
2021 / 06,Manhattan,1,06,106,2877.2,551.6,378.8
2021 / 06,Manhattan,1,07,107,4783.4,1057.1,741.5
2021 / 06,Manhattan,1,08,108,5025.8,1129.1,743.6
2021 / 06,Manhattan,1,09,109,2377.2,261.4,261.9
2021 / 06,Manhattan,1,10,110,2939.2,296.3,280.1
2021 / 06,Manhattan,1,11,111,2485.1,258.9,209.1
2021 / 06,Manhattan,1,12,112,5257.8,511.8,547.1
2021 / 06,Bronx,2,01,201,2415,172.2,176.4
2021 / 06,Bronx,2,02,202,1731.7,113.9,152.6
2021 / 06,Bronx,2,03,203,2405.5,190.4,244.3
2021 / 06,Bronx,2,04,204,4422.1,342.5,420.5
2021 / 06,Bronx,2,05,205,3809.7,299,417
2021 / 06,Bronx,2,06,206,2651.9,261.6,300
2021 / 06,Bronx,2,07,207,4055.1,386.8,597.4
2021 / 06,Bronx,2,08,208,2682.3,371.8,421.5
2021 / 06,Bronx,2,09,209,4345.4,276.2,428.2
2021 / 06,Bronx,2,10,210,3086,330.8,433.3
2021 / 06,Bronx,2,11,211,3613.1,327.3,401.3
2021 / 06,Bronx,2,12,212,4864.9,434.9,678.8
2021 / 06,Brooklyn,3,01,301,5909.5,760.7,579.7
2021 / 06,Brooklyn,3,02,302,2851.5,569.1,453.1
2021 / 06,Brooklyn,3,03,303,4934.2,542.3,484.6
2021 / 06,Brooklyn,3,04,304,3877.5,327.8,420.3
2021 / 06,Brooklyn,3,05,305,5684.1,341.4,528.6
2021 / 06,Brooklyn,3,06,306,2506.7,581.2,437.1
2021 / 06,Brooklyn,3,07,307,3846.8,464.2,435.1
2021 / 06,Brooklyn,3,08,308,3114.1,401.6,363.5
2021 / 06,Brooklyn,3,09,309,3513.4,328,279.6
2021 / 06,Brooklyn,3,10,310,3908,533,496.6
2021 / 06,Brooklyn,3,11,311,5902.7,618.8,570
2021 / 06,Brooklyn,3,12,312,6877.2,684.4,390.7
2021 / 06,Brooklyn,3,13,313,2417.8,214.3,260.4
2021 / 06,Brooklyn,3,14,314,5453.9,528,464.7
2021 / 06,Brooklyn,3,15,315,5237.2,601.1,548.2
2021 / 06,Brooklyn,3,16,316,2725.9,118.7,198
2021 / 06,Brooklyn,3,17,317,5453.4,364.9,524.9
2021 / 06,Brooklyn,3,18,318,6866,623.3,717.2
2021 / 06,Queens,4,01,401,4460.3,684.6,684.9
2021 / 06,Queens,4,02,402,3505.5,493.1,439.8
2021 / 06,Queens,4,03,403,5655.1,406.2,535.9
2021 / 06,Queens,4,04,404,4647.1,379.4,676
2021 / 06,Queens,4,05,405,5657,655,785.6
2021 / 06,Queens,4,06,406,3187.8,433.9,411
2021 / 06,Queens,4,07,407,7782.1,836.2,841.6
2021 / 06,Queens,4,08,408,4328,474,437.1
2021 / 06,Queens,4,09,409,4777.7,486.3,648.8
2021 / 06,Queens,4,10,410,4743,407.8,651.9
2021 / 06,Queens,4,11,411,3598.2,495.9,493.5
2021 / 06,Queens,4,12,412,8557.8,568.9,1017.6
2021 / 06,Queens,4,13,413,7021.3,509,1058
2021 / 06,Queens,4,14,414,3850.4,273.9,307.6
2021 / 06,Staten Island,5,01,501,6633.9,683.7,876.2
2021 / 06,Staten Island,5,02,502,5203.1,573.6,697.7
2021 / 06,Staten Island,5,03,503,6995,834.7,826.5
2021 / 05,Manhattan,1,01,101,1294.2,393.6,247.8
2021 / 05,Manhattan,1,02,102,1859,450.8,315.5
2021 / 05,Manhattan,1,03,103,2666.7,367,313
2021 / 05,Manhattan,1,04,104,2251.4,505.3,385.3
2021 / 05,Manhattan,1,05,105,1219.4,267.9,172.6
2021 / 05,Manhattan,1,06,106,2654.3,536.7,399.7
2021 / 05,Manhattan,1,07,107,4305.1,1018.5,742.9
2021 / 05,Manhattan,1,08,108,4717.8,1088.8,761.3
2021 / 05,Manhattan,1,09,109,2110,263.3,275.2
2021 / 05,Manhattan,1,10,110,2617.4,261.3,259.6
2021 / 05,Manhattan,1,11,111,2217.2,214.3,194.3
2021 / 05,Manhattan,1,12,112,4586.6,463.9,501.9
2021 / 05,Bronx,2,01,201,2152.2,147.8,150.8
2021 / 05,Bronx,2,02,202,1588.2,119.1,153.8
2021 / 05,Bronx,2,03,203,2138,147.6,191.9
2021 / 05,Bronx,2,04,204,3946.4,303.5,385
2021 / 05,Bronx,2,05,205,3501.7,262.8,386
2021 / 05,Bronx,2,06,206,2321.7,206.4,231.1
2021 / 05,Bronx,2,07,207,3661,348.6,523.1
2021 / 05,Bronx,2,08,208,2389.5,313.9,379.5
2021 / 05,Bronx,2,09,209,3926.9,270.1,411.8
2021 / 05,Bronx,2,10,210,2847.4,327.7,423.4
2021 / 05,Bronx,2,11,211,3270.4,302.2,373.7
2021 / 05,Bronx,2,12,212,4260.3,371.4,610.2
2021 / 05,Brooklyn,3,01,301,5807.5,775.4,539
